"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2020","91.52","91.53","91.54","91.52","2.50M","0.00%"
"09/22/2020","91.52","91.54","91.54","91.52","1.57M","0.00%"
"09/21/2020","91.52","91.52","91.54","91.52","1.61M","0.00%"
"09/18/2020","91.52","91.53","91.54","91.52","841.76K","-0.02%"
"09/17/2020","91.54","91.53","91.54","91.52","2.40M","0.00%"
"09/16/2020","91.54","91.52","91.54","91.52","1.25M","0.02%"
"09/15/2020","91.52","91.53","91.53","91.52","1.51M","-0.02%"
"09/14/2020","91.54","91.53","91.54","91.52","2.10M","0.02%"
"09/13/2020","91.52","91.52","91.52","91.52","","0.00%"
"09/11/2020","91.52","91.54","91.54","91.52","1.21M","-0.01%"
"09/10/2020","91.53","91.53","91.54","91.53","1.67M","0.00%"
"09/09/2020","91.53","91.54","91.54","91.53","2.26M","-0.01%"
"09/08/2020","91.54","91.53","91.54","91.52","3.65M","0.00%"
"09/04/2020","91.54","91.53","91.54","91.53","1.95M","0.01%"
"09/03/2020","91.53","91.54","91.54","91.53","1.94M","-0.01%"
"09/02/2020","91.54","91.54","91.54","91.53","1.55M","0.00%"
"09/01/2020","91.54","91.54","91.54","91.52","1.09M","0.00%"
"08/31/2020","91.54","91.53","91.54","91.53","1.47M","0.00%"
"08/30/2020","91.54","91.54","91.54","91.54","","0.00%"
"08/28/2020","91.54","91.53","91.54","91.53","1.02M","0.01%"
"08/27/2020","91.53","91.53","91.54","91.53","1.31M","0.00%"
"08/26/2020","91.53","91.53","91.54","91.53","1.06M","0.00%"
"08/25/2020","91.53","91.53","91.54","91.53","1.32M","-0.01%"
"08/24/2020","91.54","91.53","91.54","91.53","1.28M","0.00%"
"08/23/2020","91.54","91.54","91.54","91.54","","0.00%"
"08/21/2020","91.54","91.54","91.54","91.53","1.88M","0.00%"
"08/20/2020","91.54","91.53","91.54","91.53","1.09M","0.00%"
"08/19/2020","91.54","91.54","91.54","91.53","1.79M","0.00%"
"08/18/2020","91.54","91.54","91.54","91.53","3.54M","0.01%"
"08/17/2020","91.53","91.54","91.55","91.53","2.25M","0.00%"
"08/14/2020","91.53","91.53","91.54","91.53","1.21M","-0.01%"
"08/13/2020","91.54","91.54","91.54","91.53","2.35M","0.01%"
"08/12/2020","91.53","91.53","91.54","91.53","2.88M","0.00%"
"08/11/2020","91.53","91.53","91.54","91.53","1.73M","-0.01%"
"08/10/2020","91.54","91.53","91.54","91.53","887.59K","0.00%"
"08/09/2020","91.54","91.54","91.54","91.54","","0.00%"
"08/08/2020","91.54","91.54","91.54","91.54","","0.00%"
"08/07/2020","91.54","91.54","91.54","91.53","2.11M","0.01%"
"08/06/2020","91.53","91.53","91.54","91.53","1.59M","0.00%"
"08/05/2020","91.53","91.53","91.54","91.53","1.98M","-0.01%"
"08/04/2020","91.54","91.54","91.54","91.53","1.65M","0.01%"
