Asset Name,Last Close,1M % Chg,YTD % Chg,52w Low,52w High,52w Range,Last 10 Days Return,Category
XLC ETF,116.91,-0.48518896833504205,-0.6880733944954148,86.13,120.08,33.95,"[-0.74, -0.13, 2.6, 0.24, -0.34, -1.61, -0.8, -0.51, -0.39, 0.99]",ETFs - Sectors
XLF ETF,54.11,-3.202146690518782,-1.2050392550666489,43.92,56.4,12.479999999999997,"[-0.77, -0.02, 1.06, -0.21, 1.1, -0.93, 0.8, -1.24, 1.82, -0.28]",ETFs - Sectors
XLRE ETF,42.13,4.1790306627102005,4.4114002478314776,37.08,43.52,6.440000000000005,"[0.07, -0.97, 1.27, 0.15, -1.13, -0.37, 1.59, -0.55, 1.84, 0.33]",ETFs - Sectors
XLE ETF,53.55,15.037593984962408,19.771863117870716,38.22,53.55,15.329999999999998,"[0.91, 0.77, 0.92, 1.07, -1.96, 3.24, 2.25, -1.17, 1.99, 0.56]",ETFs - Sectors
XLV ETF,156.23,-1.1952947128763058,0.9237726098191075,128.77,159.66,30.889999999999986,"[-1.68, -0.73, -0.32, 0.6, 0.61, -1.02, 1.25, -0.76, 1.85, -0.94]",ETFs - Sectors
XLY ETF,117.89,-4.092092417832738,-1.2729252156435775,88.17,124.52,36.349999999999994,"[0.3, -0.75, -0.48, -0.02, 0.66, -0.8, -0.74, -2.16, 0.41, -0.08]",ETFs - Sectors
XLK ETF,143.44,-0.5546311702717771,-0.3681322497742593,89.86,152.07,62.209999999999994,"[1.35, 0.8, -1.58, -2.04, 0.96, -2.19, -2.79, -1.8, 4.06, 1.64]",ETFs - Sectors
Canada 2-Year Bond Yield,2.545,-0.8183943881527634,-1.7374517374517346,2.353,2.838,0.4849999999999999,"[0.78, -0.15, -0.5, -0.7, 0.66, 0.27, -0.08, -1.2, 0.16, -0.27]",Short-Term Bonds
United States 2-Year Bond Yield,3.487,-0.028669724770639043,0.34532374100719454,3.426,4.356,0.9299999999999997,"[0.34, -0.84, -0.68, 1.22, 0.06, -0.36, -2.14, 0.34, 0.31, -0.53]",Short-Term Bonds
Japan 2-Year Bond Yield,1.313,16.40070921985816,12.414383561643838,0.584,1.313,0.729,"[0.86, -2.81, 0.88, -1.99, 2.43, 1.98, -0.7, 0.31, -0.08, 2.42]",Short-Term Bonds
France 2-Year Bond Yield,2.173,-2.293165467625906,-3.507992895204252,1.823,2.335,0.512,"[-1.64, -0.28, -0.68, -0.48, 1.74, 0.53, -2.0, 0.23, 0.37, -0.45]",Short-Term Bonds
United Kingdom 2-Year Bond Yield,3.623,-0.9568069983597512,-2.4501884760366117,3.623,4.294,0.6709999999999994,"[-0.03, 0.11, -0.83, 0.11, -0.35, -0.03, 0.38, -1.45, -1.06, -0.17]",Short-Term Bonds
Italy 2-Year Bond Yield,2.161,-3.1376064545046995,-2.613789995493458,1.959,2.556,0.597,"[-0.56, -1.04, -0.68, 0.65, 1.44, -0.57, -0.36, 0.27, -0.18, -1.04]",Short-Term Bonds
Germany 2-Year Bond Yield,2.057,-2.000952834683195,-3.1088082901554532,1.653,2.272,0.6189999999999998,"[-0.62, -1.25, -0.76, 0.43, 1.39, 0.19, -1.26, -0.14, -0.05, -0.59]",Short-Term Bonds
Oracle,157.98,-16.69918270498287,-18.947206402955214,122.82,328.33,205.51,"[-4.13, -1.2, -2.19, -2.62, -2.75, -3.37, -5.17, -6.95, 4.65, 10.61]",Equities - Sector Constituents
Visa A,325.99,-7.449677767367915,-7.048558638191089,308.27,373.31,65.04000000000002,"[-0.98, 0.53, 1.47, -3.0, 3.73, -1.47, 0.31, -0.25, 0.74, -1.69]",Equities - Sector Constituents
Linde PLC,453.66,3.1772385089494932,6.395553366636188,389.38,483.59,94.20999999999998,"[-0.44, -0.34, 0.78, 0.43, 0.7, 0.74, 2.11, -2.88, -2.49, 1.21]",Equities - Sector Constituents
NextEra Energy,89.68,12.819222543716208,11.709018435475842,64.11,89.97,25.86,"[1.97, 0.48, 0.7, -0.32, -1.79, 2.88, 1.29, -0.84, 0.29, 0.23]",Equities - Sector Constituents
Pfizer,27.0,6.761565836298936,8.433734939759043,21.59,27.37,5.780000000000001,"[2.4, -2.42, 0.93, 1.3, 0.83, -3.34, 3.92, -1.08, 2.76, -0.81]",Equities - Sector Constituents
Exxon Mobil,150.2,22.203238141729713,24.81302974904436,99.93,150.2,50.26999999999998,"[1.48, 0.55, 2.13, 0.63, -2.12, 3.85, 2.69, -1.02, 2.03, 0.77]",Equities - Sector Constituents
Coca-Cola,77.82,12.181058094277047,11.314547275067941,64.55,79.03,14.480000000000004,"[1.36, -0.67, 0.51, 1.88, 0.7, 2.07, 0.6, 1.5, 0.66, -1.52]",Equities - Sector Constituents
Boeing,243.75,7.199401882311552,12.265106853352982,136.59,252.15,115.56,"[-1.56, -1.21, -3.13, -0.14, -0.3, 0.06, 1.2, 0.42, 2.57, 0.3]",Equities - Sector Constituents
Walt Disney,107.53,-5.815888587194535,-5.484749934077521,81.72,124.01,42.290000000000006,"[-0.63, -0.95, 1.84, 1.09, -7.4, -0.22, 2.72, -1.94, 3.55, -1.08]",Equities - Sector Constituents
