date,open,high,low,close,volume
2019-04-26,151.4,153.0,150.95000000000002,153.0,8550000.0
2019-04-29,151.64999999999998,156.175,151.64999999999998,154.35,5060000.0
2019-04-30,154.35,158.15,154.1625,157.35,8830000.0
2019-05-01,156.95,158.45000000000002,154.8,154.85,3160000.0
2019-05-02,157.05,158.25,153.45000000000002,154.65,6960000.0
2019-05-03,156.05,159.0,154.95,157.89999999999998,7060000.0
2019-05-07,158.55,162.225,157.15,158.9,8720000.0
2019-05-08,159.45,160.2,154.0,155.85000000000002,7990000.0
2019-05-09,155.75,156.54999999999998,154.45,155.1,4710000.0
2019-05-10,156.9,159.3,154.9,155.0,7180000.0
2019-05-13,155.0,155.85000000000002,149.875,151.15,7070000.0
2019-05-14,152.10000000000002,153.65,151.9,153.0,6090000.0
2019-05-15,154.1,156.3,152.65,156.0,3850000.0
2019-05-16,156.25,158.6,154.45,158.6,5070000.0
2019-05-17,157.10000000000002,158.75,156.2,158.65,3940000.0
2019-05-20,156.45,159.3,155.1375,156.5,3530000.0
2019-05-21,156.45,158.8,155.975,157.35,4650000.0
2019-05-22,156.25,157.79999999999998,154.1,154.1,4300000.0
2019-05-23,153.5,154.55,151.05,152.85,4380000.0
2019-05-24,152.45,154.8,152.15,154.70000000000002,6800000.0
2019-05-28,153.3,158.0,153.3,156.75,8080000.0
2019-05-29,154.4,156.35,150.15,150.39999999999998,3740000.0
2019-05-30,151.75,155.75,150.9,154.4,3190000.0
2019-05-31,151.5,154.5,151.5,154.2,3670000.0
2019-06-03,156.25,156.3,151.9,155.85000000000002,4050000.0
2019-06-04,153.3,160.45000000000002,153.0,156.2,5320000.0
2019-06-05,156.6,159.35,154.575,156.8,9070000.0
2019-06-06,156.85,157.15,154.5,156.54999999999998,3870000.0
2019-06-07,155.85000000000002,157.3,154.0,155.35,3920000.0
2019-06-10,156.25,157.6,154.5,155.25,4450000.0
2019-06-11,155.8,156.1,152.45,153.2,7520000.0
2019-06-12,152.7,155.6,150.39999999999998,152.5,7610000.0
2019-06-13,151.45,152.4375,147.95,148.4,5850000.0
2019-06-14,149.1,150.0,147.20000000000002,147.89999999999998,6020000.0
2019-06-17,148.05,148.85,146.15,147.75,6940000.0
2019-06-18,146.9,149.2,146.35,147.55,6280000.0
2019-06-19,147.25,149.8,146.6,147.20000000000002,5180000.0
2019-06-20,148.65,149.38750000000002,145.675,147.85,5440000.0
2019-06-21,146.05,148.1,144.3,145.9,60640000.0
2019-06-24,144.8,150.55,144.8,147.5,8810000.0
2019-06-25,146.05,149.2,145.2,148.2,8020000.0
2019-06-26,146.8,148.0,145.05,146.9,5350000.0
2019-06-27,146.05,148.9,146.05,147.75,6720000.0
2019-06-28,148.05,149.75,146.6,146.6,7300000.0
2019-07-01,147.65,150.39999999999998,146.6,149.60000000000002,8730000.0
2019-07-02,151.0,152.20000000000002,150.25,150.6,7390000.0
2019-07-03,152.5,157.4,151.9,155.0,11100000.0
2019-07-04,155.0,157.6,154.25,155.8,5980000.0
2019-07-05,157.95,157.95,153.8625,155.39999999999998,8189999.999999999
2019-07-08,156.35,156.35,148.55,150.85000000000002,11050000.0
2019-07-09,150.95000000000002,152.5,150.29999999999998,151.2,5530000.0
2019-07-10,150.15,152.7,149.9,152.45,12520000.0
2019-07-11,153.2,153.75,150.39999999999998,152.85,7310000.0
2019-07-12,153.55,154.2,152.4,153.95,4790000.0
2019-07-15,154.75,155.75,152.65,155.05,5940000.0
2019-07-16,155.0,155.45,153.325,154.45,5320000.0
2019-07-17,154.5,155.6,153.4,154.5,4540000.0
2019-07-18,154.95,154.95,152.85,152.89999999999998,3570000.0
2019-07-19,152.89999999999998,154.9,152.65,153.15,4050000.0
2019-07-22,156.1,156.8,153.65,154.70000000000002,6910000.0
2019-07-23,156.05,156.05,150.65,152.7,6030000.0
2019-07-24,154.14999999999998,155.3625,152.75,153.65,4890000.0
2019-07-25,155.39999999999998,155.39999999999998,152.65,154.4,6240000.0
2019-07-26,154.8,157.55,153.7,157.55,4630000.0
2019-07-29,157.10000000000002,160.95,157.05,159.4,7650000.0
2019-07-30,160.95,162.875,158.6,162.10000000000002,8690000.0
2019-07-31,161.25,163.0125,160.95,162.45000000000002,11240000.0
2019-08-01,162.25,163.29999999999998,158.55,160.0,8790000.0
2019-08-02,157.85,158.0625,153.5,153.55,4760000.0
2019-08-05,152.0,152.0,144.95,145.5,8410000.0
2019-08-06,144.8,149.38750000000002,144.8,147.20000000000002,9050000.0
2019-08-07,146.95,149.85,145.45,149.35,6690000.0
2019-08-08,149.3,153.03750000000002,149.3,151.8,4440000.0
2019-08-09,152.15,155.1,151.5875,153.9,5390000.0
2019-08-12,155.85000000000002,156.0,151.225,151.45,4320000.0
2019-08-13,151.75,152.25,148.2875,152.15,6100000.0
2019-08-14,153.35000000000002,153.575,149.0,149.55,5820000.0
